"index"	"input_logprob"	"output_logprob"	"shift_freq"	"correct"	"shift"	"shift_level"	"pred"
31	-36.8751640319824	-14.9606990814209	59	1	1	1	0.781651243064717
32	-33.8468360900879	-14.9592247009277	59	1	1	1	0.773722894944477
33	-37.1778221130371	-14.9561634063721	59	0	1	1	0.782477804953476
34	-39.281566619873	-14.9554557800293	59	1	1	1	0.787868131774256
35	-34.8386497497559	-15.0447978973389	59	1	1	1	0.775501193253235
36	-35.2609367370605	-14.9536418914795	59	1	1	1	0.777511872913243
37	-33.5545349121094	-15.0479393005371	59	1	1	1	0.7720597148394
38	-37.962459564209	-14.9473533630371	59	1	1	1	0.784581810895529
39	-38.2190818786621	-15.0532379150391	59	1	1	1	0.784222856970529
40	-33.8049049377441	-15.0536785125732	59	0	1	1	0.772670240592585
41	-36.3406410217285	-14.9450149536133	59	1	1	1	0.780416720994187
42	-41.0937843322754	-15.0551643371582	59	1	1	1	0.791493638956237
43	-39.5433692932129	-15.0566177368164	59	1	1	1	0.78757121676156
44	-39.1795310974121	-14.9429969787598	59	1	1	1	0.787727672554323
45	-37.9492378234863	-15.0570030212402	59	1	1	1	0.783492982538834
46	-36.4188652038574	-14.9421348571777	59	1	1	1	0.78064805428278
47	-40.1512069702148	-15.0592746734619	59	1	1	1	0.789084875307691
48	-37.364070892334	-14.9404048919678	59	1	1	1	0.783110491540445
49	-33.0082817077637	-15.0600719451904	59	1	1	1	0.770476049964018
50	-39.6108703613281	-14.9359283447266	59	0	1	1	0.788886784975638
51	-38.8873596191406	-15.0665664672852	59	0	1	1	0.785806178209137
52	-23.4755058288574	-14.9332008361816	59	1	1	1	0.745277027541497
53	-44.4965667724609	-15.066858291626	59	1	1	1	0.799779129148561
54	-34.499340057373	-15.067663192749	59	0	1	1	0.774376767390737
55	-39.4146385192871	-14.9308891296387	59	1	1	1	0.788438282930743
56	-36.6913070678711	-15.07053565979	59	1	1	1	0.780106154239533
57	-38.8068389892578	-14.9290428161621	59	1	1	1	0.786913611410199
58	-36.4550476074219	-14.9268760681152	59	0	1	1	0.780890412801668
59	-32.5258331298828	-14.9268188476562	59	1	1	1	0.770520490021426
